full_name,common_name,family,native,life_cycle,group,speciesID,alternate_name,seeds_per_oz
cyperus esculentus,yellow nutsedge,cyperaceae,native,perennial,weedy sedge,cypes,,
dactylis glomerata,orchard grass,poaceae ,introduced,perennial,weedy C3 grass,dacgl,,
dalea candida,white prairie clover,fabaceae,native,perennial,prairie forb,dalca,,19000
dalea purpurea,purple prairie clover,fabaceae,native,perennial,prairie forb,dalpu,,15000
daucus carota,queen anne's lace,apiaceae,introduced,biennial,weedy forb,dauca,,
delphinium virescens,prairie larkspur,ranunculaceae,native ,perennial,prairie forb,delvi,,60000
desmanthus illinoensis,prairie mimosa,fabaceae,native,perennial,prairie forb,desil,Illinois bundle flower,4200
desmodium canadense,showy tick trefoil,fabaceae,native,perennial,prairie forb,desca,,5500
desmodium illinoense,Illinois tick trefoil,fabaceae,native,perennial,prairie forb,desill,,4300
digitaria sanguinalis,large crabgrass,poaceae ,introduced,annual,weedy C4 grass,digsa,,
dracopis amplexicaulis,clasping coneflower,asteraceae,native,annual,prairie forb,draam,,
echinacea pallida,pale purple coneflower,asteraceae,native,perennial,prairie forb,echpa,,5200
echinacea purpurea,purple coneflower,asteraceae,native,perennial,prairie forb,echpu,,6600
echinochloa crus-galli,barnyardgrass,poaceae ,introduced,annual,weedy C4 grass,echcr,,
eleocharis palustris,common spikerush,cyperaceae,native,perennial,rush,elepa,,
eleusine indica,goosegrass,poaceae ,introduced,annual,weedy C4 grass,elein, ,
elymus canadensis,canada wildrye,poaceae ,native,perennial,prairie C3 grass,elyca,,5200
elymus virginicus,virginia wildrye,poaceae ,native,perennial,prairie C3 grass,elyvi,,4200
equistem arvense,common horsetail,equisetaceae,native,perennial,fern,equar,,
erigeron annuus,annual fleabane,asteraceae,native,annual,weedy forb,erian,,
erigeron strigosus,daisy fleabane,asteraceae,native,annual,prairie forb,erist,,
eriochloa villosa,wooly cupgrass,poaceae ,introduced,annual,weedy C3 grass,erivi,,
eryngium yuccifolium,rattlesnake master,apiaceae,native,perennial,prairie forb,eryyu,,7500
eutrorium purpureum,purple joe pye weed,asteraceae,native,perennial,prairie forb,eutpu,sweet joe pye weed,42000
eupatorium serotinum,late boneset,asteraceae,native,perennial,prairie forb,eupse,,130000
euphorbia collorata,flowering spurge,euphorbiaceae,native,perennial,prairie forb,eupco,,8000
euphorbia dentata,toothed spurge,euphorbiaceae,native,annual,prairie forb,eupde,,
euphorbia maculata,spotted spurge,euphorbiaceae,native,annual,weedy forb,eupma,carpet spurge,
euphorbia nutans,nodding spurge,euphorbiaceae,native,annual,weedy forb,eupnu,,
festuca arundinacea,tall fescue,poaceae,introduced,perennial,weedy C3 grass,fesar,,
fraxinus americana,white ash,oleaceae,native,perennial,woody,fraam,,
fraxinus pennsylvanica,green ash,oleaceae,native,perennial,woody,frape,,
gaillardia aristata,blanket flower,asteraceae,native,perennial,prairie forb,gaiar,,11625
galium aparine,catchweed bedstraw,rubiaceae,native,annual,weedy forb,galap,,
galium boreale,northern bedstraw,rubiaceae,native,perennial,prairie forb,galbo,,70000
galium triflorum,sweet-scented bedstraw,rubiaceae,native,perennial,weedy forb,galtr,,
gaura biennis,biennial guara,onagraceae,native,biennial,prairie forb,gaubi,biennial beeblossom,2700
gentiana alba,white gentian,gentianaceae,native ,perennial,prairie forb,genal,,140000
gentiana andrewsii,bottle gentian,gentianaceae,native ,perennial,prairie forb,genan,,280000
gentiana puberulenta,downy gentian,gentianaceae,native,perennial,prairie forb,genpu,,435000
gentianella quinquefolia,stiff gentian,gentianaceae,native ,perennial,prairie forb,genqu,,180000
geum canadense,white avens,rosaceae,native,perennial,weedy forb,geuca,,
geum triflorum,prairie smoke,rosaceae,native,perennial ,prairie forb,geutr,,27000
gleditsia triacanthos,honey locust,fabaceae,native,perennial,woody,gletr,,
glycine max,soybean,fabaceae,introduced,annual,weedy forb,glyma,,
hackelia virginiana,stickseed,boraginaceae,native,biennial,weedy forb,hacvi,,
helenium autumnale,sneezeweed,asteraceae,native ,perennial ,prairie forb,helau,,130000
helianthus annuus,common sunflower,asteraceae,native ,annual ,weedy forb, helan, ,
helianthus giganteus,tall sunflower,asteraceae,native ,perennial ,prairie forb,helgi,giant sunflower,10000
helianthus grosseserratus,saw-tooth sunflower,asteraceae,native ,perennial ,prairie forb,helgr,,15000
helianthus maximiliani,maximillain sunflower,asteraceae,native ,perennial ,prairie forb,helma,,13000
helianthus occidentalis,western sunflower,asteraceae,native ,perennial ,prairie forb,heloc,,14000
helianthus pauciflorus,prairie sunflower,asteraceae,native,perennial,prairie forb,helpa,stiff sunflower,4000
heliopsis helianthoides,oxeye sunflower,asteraceae,native,perennial,prairie forb,helhe,false sunflower,6300
heuchera richardsonii,alumroot,saxifragaceae,native,perennial,prairie forb,heuri,,700000
hibiscus trionum,venice mallow,malvaceae,introduced,annual,weedy forb,hibtr,,
hordeum jubatum,squirrel-tail barley,poaceae ,native,perennial,weedy C3 grass,horju,,
hypericum ascyron,giant st. jonh's wort,hypericaceae,native,perennial,prairie forb,hypas,,3040000
hypericum perforatum,common st. john's wort,hypericaceae,introduced,perennial,prairie forb,hyppe,,
ipomea purpurea,common morning glory,convolvulaceae,introduced,annual,weedy forb,ipopu,,
ipomoea hederacea,ivyleaf morningglory,convolvulaceae,introduced,annual,weedy forb,ipohe,,
juncus tenuis,slender rush,juncaceae,native,perennial,rush,junte,path rush,
juncus torreyi,torrey's rush,juncaceae,native,perennial,rush,junto,,
juniperus virginiana,eastern red cedar,cupressaceae,native,perennial,woody,junvi,,
koeleria macrantha,june grass,poaceae ,native,perennial,prairie C3 grass,koema,,200000
lactuca canadensis,wild lettuce,asteraceae,native,biennial,prairie forb,lacca,,
lactuca serriola,prickly lettuce,asteraceae,introduced,biennial,weedy forb,lacse,,
leonurus cardiaca,motherwort,lamiaceae,introduced,perennial,weedy forb,leoca,,
lespedeza capitata,roundheaded bush clover,fabaceae,native,perennial,prairie forb,lesca,,8000
liatris aspera,rough blazing star,asteraceae,native,perennial,prairie forb,liaas,tall blazing star,16000
liatris pycnostachya,prairie blazing star,asteraceae,native,perennial,prairie forb,liapy,,11000
liatris spicata,spiked gayfeather,asteraceae,native,perennial,prairie forb,liasp,,11000
linum lewisii,blue flax,linaceae,native,perennial,prairie forb,linle,prairie flax Lewis flax,18000
lobelia inflata,indian tobacco,campanulaceae,native,annual,weedy forb,lobin,,
lobelia spicata,pale-spiked lobelia,lobeliaceae,native,perennial,prairie forb,lobsp,,900000
lonicera maackii,amur honeysuckle,caprifoliaceae,introduced,perennial,woody,lonma,,
lotus corniculatus,bird's foot trefoil,fabaceae,introduced,perennial,weedy forb,lotco,,
ludwigia alternifolia,seedbox,onagraceae,native ,perennial,prairie forb,ludal,,1300000
lupinis perennis,wild lupine,fabaceae,native,perennial,prairie forb,luppe,,1100
lycopus americanus,cut-leaved water-horehound,lamiaceae,native,perennial,prairie forb,lycam,,130000
lysimachia quadriflora,prairie loosestrife,myrsinaceae,native,perennial,prairie forb,lysqu,,90000
lythrum alatum,wing-angled loosestrife,lythraceae,native,perennial,prairie forb,lytal,,3000000
lythrum salicaria,purple loosestrife,lythraceae,introduced,perennial,weedy forb,lytsa,,
maianthemum stellatum,starry flase soloman's seal,ruscaceae,native,perennial,weedy forb,maist,,
medicago lupulina,black medic,fabaceae,introduced,perennial,weedy forb,medlu,,
medicago sativa,alfalfa,fabaceae,introduced,perennial,weedy forb,medsa,,
melilotus officinalis,yellow sweetclover,fabaceae,introduced,perennial,weedy forb,melof,,
melitotus alba,white sweetclover, fabaceae,introduced,perennial,weedy forb,melal, ,
mertensia virginica,virginia bluebell,boraginaceae,native,perennial,prairie forb,mervi,,9700
monarda fistulosa,wild bergamot,lamiaceae,native,perennial,prairie forb,monfi,,70000
morus alba,white mulberry,moraceae,introduced,perennial,woody,moral,,
morus rubra,red mulberry,moraceae,native,perennial,woody,morru,,
muhlenbergia frondosa,wirestem muhly,poaceae ,native,perennial,weedy C4 grass,muhfr,,
myosotis verna,spring scorpion grass,boraginaceae,native,annual,weedy forb,myove,,
myosoton aquaticum,giant chickweed,caryophyllaceae,introduced,perennial,weedy forb,myoaq,water chickweed,
nepeta cataria,catnip,lamiaceae,introduced,perennial,weedy forb,nepca,,
oenothera biennis,evening primrose,onagraceae,native ,biennial,prairie forb,oenbi,,90000
oxalis stricta,yellow wood sorrel,oxalidaceae,native ,perennial,weedy forb,oxast,,
panicum capillare,witchgrass,poaceae ,native,annual,weedy C4 grass,panca,,
panicum dichotomiflorum,fall panicum,poaceae ,native, annual,weedy C4 grass,pandi, ,
panicum virgatum,switch grass,poaceae ,native,perennial,prairie C4 grass,panvi,,14000
parthenium integrifolium,wild quinine,asteraceae,native,perennial,prairie forb,parin,,7000
pastinaca sativa,wild parsnhip,apiaceae,introduced,biennial,weedy forb,passa,,
penstemon digitalis,foxglove beardtongue,scrophulariaceae,native,perennial,prairie forb,pendi,smooth penstemon,130000
penstemon grandiflorus,large-flowered beardtongue,scrophulariaceae,native,perennial,prairie forb,pengr,,14000
phalaris arundinacea,reed canary grass,poaceae ,native,perennial,prairie C3 grass,phaar,,
phleum pratense,timothy grass,poaceae ,introduced,perennial,weedy C3 grass,phlpr,,
phlox pilosa,prairie phlox,polemoniaceae,native,perennial,prairie forb,phlpi,downy phlox,19000
physalis heterophylla,clammy ground cherry,solanaceae,native,perennial,weedy forb,phyhe,,
physalis subglabrata,smooth ground cherry,solanaceae,native,perennial,weedy forb,physu,physalis virginiana,
physostegia virginiana  ,false dragonhead,lamiaceae,native,perennial,prairie forb,phyvi,obedient plant,11000
plantago lanceolata,english plantain,plantaginaceae,introduced,perennial,weedy forb,plala,,
plantago major,broadleaf plantain,plantaginaceae,introduced,perennial,weedy forb,plama,,
plantago rugelii,black-seed plantain,plantaginaceae,native,perennial,weedy forb,plaru,,
poa pratensis,kentucky bluegrass,poaceae ,introduced,perennial,weedy C3 grass,poapr,,
poa trivialis,meadow grass,poaceae ,introduced,perennial,weedy C3 grass,poatr,,
polygonum amphibium,water smartweed,polygonaceae,native,perennial,weedy forb,polam,,
polygonum aviculare,prostrate knotweed,polygonaceae,introduced,annual,weedy forb,polav,,
polygonum convulvulus,wild buckwheat,polygonaceae,introduced,annual,weedy forb,polco,,
polygonum pensylvanicum,pennsylvania smartweed,polygonaceae,native,annual,weedy forb,polpe,,
populus deltoides,common cottonwood,salicaeae,native,perennial,woody,popde,,
portulaca oleracea,commone purslane,portulacaceae,introduced,annual,weedy forb,porol,,
potentilla arguta,tall cinquefoil,rosaceae,native,perennial,prairie forb,potar,prairie cinquefoil,230000
potentilla norvegica,rough cinquefoil,rosaceae,native,biennial,weedy forb,potno,,
potentilla recta,sulfur cinquefoil,rosaceae,introduced,perennial,weedy forb,potre,,
potentilla simplex,old field cinquefoil,rosaceae,native,perennial,weedy forb,potsi,,
prunus serotina,wild black cherry,rosaceae,native,perennial,woody,pruse,,
pycnanthemum tenuifolium ,slender mountain mint,lamiaceae,native,perennial,prairie forb,pycte,,378000
pycnanthemum virginianum,common mountain mint,lamiaceae,native,perennial,prairie forb,pycvi,,220000
raphanus raphanistrum,wild radish,brassicaceae,introduced,annual,weedy forb,rapra,,
ratibida columnifera,prairie coneflower,asteraceae,native,perennial,prairie forb,ratco,long headed coneflower,42000
ratibida pinnata,greyheaded coneflower,asteraceae,native,perennial,prairie forb,ratpi,yellow coneflower,30000
rhus glabra,smooth sumac,anacardiaceae,native,perennial,woody,rhugl,,
rosa arkansana,prairie rose,rosaceae,native,perennial,prairie forb,rosar,sunshine rose ,2500
rosa multiflora,muliflora rose,rosaceae,introduced,perennial,weedy forb,rosmu,,
rubus occidentalis,black raspberry,rosaceae,native,perennial,woody,ruboc,,
rudbeckia hirta,black eyed susan,asteraceae,native,perennial,prairie forb,rudhi,,92000
rudbeckia subtomentosa,sweet coneflower,asteraceae,native,perennial,prairie forb,rudsu,,43000
rudbeckia triloba,brown eyed susan,asteraceae,native,perennial,prairie forb,rudtr,,34000
ruellia humulis,wild petunia,acanthaceae,native,perennial,prairie forb,ruehu,,5200
rumex crispus,curly dock,polygonaceae,introduced,perennial,weedy forb,rumcr,,
sanicula canadensis,canadian black snakeroot,apiaceae,native,biennial,weedy forb,sanca,,
schizachyrium scoparium,little bluestem,poaceae ,native,perennial,prairie C4 grass,schsc,,15000
senna marilandica,maryland senna,fabaceae,native ,perennial,prairie forb,senma,,1700
setaria faberi,giant foxtail,poaceae ,introduced,annual,weedy C4 grass,setfa,,
setaria pumila,yellow foxtail,poaceae ,introduced,annual,weedy C4 grass,setpu,,
setaria viridis,green foxtail,poaceae ,introduced,annual,weedy C4 grass,setvi,,
sida spinosa,prickly side,malvaceae,introduced,annual,weedy forb,sidsp,,
silphium integrifolium,rosinweed,asteraceae,native,perennial,prairie forb,silin,,1200
silphium laciniatum,compass plant,asteraceae,native,perennial,prairie forb,silla,,660
silphium perfoliatum,cup plant,asteraceae,native,perennial,prairie forb,silpe,,1400
solanum carolinense,horsenettle,solanaceae,native,perennial,weedy forb,solcar,,
solanum ptycanthum,eastern black nightshade,solanaceae,native,annual,weedy forb,solpt,,
solidago canadensis,canada goldenrod,asteraceae,native,perennial,prairie forb,solca,,140000
solidago nemoralis,old-field goldenrod,asteraceae,native,perennial,prairie forb,solne,grey goldenrod,300000
solidago rigida,stiff goldenrod,asteraceae,native,perennial,prairie forb,solri,rigid goldenrod,41000
solidago speciosa,showy goldenrod,asteraceae,native,perennial,prairie forb,solsp,,95000
sonchus arvensis,perennial sowthistle,asteraceae,introduced,perennial,weedy forb,sonar,,
sonchus asper,spiny sowthistle,asteraceae,introduced,annual,weedy forb,sonas,,
sorghastrum nutans,indian grass,poaceae ,native ,perennial,prairie C4 grass,sornu,,12000
sporobolus compositus,rough dropseed,poaceae ,native ,perennial,prairie C4 grass,spoco,tall/composite dropseed;sporobolus asper,28000
sporobolus cryptandrus,sand dropseed,poaceae ,native ,perennial,prairie C4 grass,spocr,,200000
sporobolus heterolepsis,prairie dropseed,poaceae ,native ,perennial,prairie C4 grass,spohe,,16000
symphyotrichum ericoides,heath aster,asteraceae,native,perennial,prairie forb,symer,,200000
symphyotrichum laevum,smooth blue aster,asteraceae,native,perennial,prairie forb,symla,,55000
symphyotrichum lanceolatum,panicled aster,asteraceae,native,perennial,prairie forb,symlan,,156000
symphyotrichum novae-angeliae,new england aster,asteraceae,native,perennial,prairie forb,symno,,66000
symphyotrichum oblongifolium,aromatic Aster,asteraceae,native,perennial,prairie forb,symob,,51000
symphyotrichum oolentangiense,sky blue aster,asteraceae,native,perennial,prairie forb,symoo,,80000
symphyotrichum pilosum,frost aster,asteraceae,native,perennial,prairie forb,sympi,hairy white oldfield aster,140000
symphyotrichum sericeum,silky aster,asteraceae,native,perennial,prairie forb,symse,,26000
taraxacum officinale,common dandelion,asteraceae,introduced,perennial,weedy forb,tarof,,
teucrium canadense,american germander,lamiaceae,native,perennial ,prairie forb,teuca,,20000
thalictrum dasycarpum,meadow rue,ranunculaceae,native,perennial,prairie forb,thada,,11000
thlaspi arvense,field pennycress,brassicaceae,introduced,annual,weedy forb,thlar,,
toxicodendron radicans,poison ivy,anacardiaceae,native,perennial,woody,toxra,,
tradescantia bracteata,prairie spiderwort,commelinaceae,native,perennial,prairie forb,trabr,long-bracted spiderwort,10000
tradescantia ohiensis,ohio spiderwort,commelinaceae,native,perennial,prairie forb,traoh,,8000
trifolium campestre,low hop clover,fabaceae,introduced,annual,weedy forb,trica,,
trifolium hybridum,aslike clover,fabaceae,introduced,perennial,weedy forb,trihy,,
trifolium pratense,red clover,fabaceae,introduced,perennial,weedy forb,tripr,,
trifolium repens,white clover,fabaceae,introduced,perennial,weedy forb,trire,,
ulmus americana,american elm,ulmaceae,native,perennial,woody,ulmam,,
urtica dioica,stinging nettle,urticaeae,native,perennial,weedy forb,urtdi,,
verbena hastata,blue vervain,verbenaceae,native,perennial,prairie forb,verha,,93000
verbena stricta,hoary vervain,verbenaceae,native,perennial,prairie forb,verst,wooly vervain,28000
verbena uricifolia,white vervain,verbenaceae,native,perennial,prairie forb,verur,,47000
veronia baldwinii,western ironweed,asteracea,native,perennial,prairie forb,verba,baldwin's ironweed,24000
veronia fasciculata,ironweed,asteraceae,native,perennial,prairie forb,verfa,,24000
veronicastrum virginicum,culver's root,scrophulariaceae,native,perennial,prairie forb,vervi,,800000
vicia villosa,hairy vetch,fabaceae,introduced,biennial,weedy forb,vicvi,,
viola pedatifida,prairie violet,violaceae,native,perennial,prairie forb,viope,,28000
viola sororia,common blue violet,violaceae,native,perennial,weedy forb,vioso,,
vitis riparia,riverbank grape,viticeae,native,perennial,woody,vitri,,
xanthium strumarium,common cocklebur,asteraceae,introduced,annual,weedy forb,xanst,,
zea mays,cultivated corn, poaceae,introduced, annual,weedy C4 grass,zeama, ,
zizia aptera,heartleaf alexanders,apiaceae,native,perennial,prairie forb,zizap,heart leafed parship,12000
zizia aurea,golden alexander,apiaceae,native,perennial,prairie forb,zizau,,11000
