full_name,common_name,family,native,life_cycle,group,code,alternate_name
gentiana alba,white gentian,gentianaceae,native ,perennial,forb,genal,
gentiana andrewsii,bottle gentian,gentianaceae,native ,perennial,forb,genan,
gentianella quinquefolia,stiff gentian,gentianaceae,native ,perennial,forb,genqu,
geum triflorum,prairie smoke,rosaceae,native ,perennial ,forb,geutr,
helenium autumnale,sneezeweed,asteraceae,native ,perennial ,forb,helau,
helianthus giganteus,tall sunflower,asteraceae,native ,perennial ,forb,helgi,giant sunflower
helianthus grosseserratus,saw-tooth sunflower,asteraceae,native ,perennial ,forb,helgr,
helianthus maximiliani,maximillain sunflower,asteraceae,native ,perennial ,forb,helma,
helianthus occidentalis,western sunflower,asteraceae,native ,perennial ,forb,heloc,
helianthus pauciflorus,prairie sunflower,asteraceae,native,perennial,forb,helpa,stiff sunflower
heliopsis helianthoides,oxeye sunflower,asteraceae,native,perennial,forb,helhe,false sunflower
heuchera richardsonii,alumroot,saxifragaceae,native,perennial,forb,heuri,
koeleria macrantha,june grass,poaceae ,native,perennial,C3 grass,koema,
lactuca serriola,prickly lettuce,asteraceae,introduced,biennial,forb,lacse,
lespedeza capitata,roundheaded bush clover,fabaceae,native,perennial,forb,lesca,
liatris aspera,rough blazing star,asteraceae,native,perennial,forb,liaas,tall blazing star
liatris pycnostachya,prairie blazing star,asteraceae,native,perennial,forb,liapy,
liatris spicata,spiked gayfeather,asteraceae,native,perennial,forb,liasp,
linum lewisii,blue flax,linaceae,native,perennial,forb,linle,prairie flax Lewis flax
lobelia spicata,pale-spiked lobelia,lobeliaceae,native,perennial,forb,lobsp,
lotus corniculatus,bird's foot trefoil,fabaceae,introduced,perennial,forb,lotco,
lupinis perennia,wild lupine,fabaceae,native,perennial,forb,luppe,
lycopus americanus,cut-leaved water-horehound,lamiaceae,native,perennial,forb,lycan,
lysimachia quadriflora,prairie loosestrife,myrsinaceae,native,perennial,forb,lysqu,
lythrum alatum,wing-angled loosestrife,lythraceae,native,perennial,forb,lytal,
medicago lupulina,black medic,fabaceae,introduced,perennial,forb,medlu,
medicago sativa,alfalfa,fabaceae,introduced,perennial,forb,medsa,
melilotus officinalis,yellow sweetclover,fabaceae,introduced,perennial,forb,mel,
mertensia virginica,virginia bluebell,boraginaceae,native,perennial,forb,mervi,
monarda fistulosa,wild bergamot,lamiaceae,native,perennial,forb,monfi,
oenothera biennis,evening primrose,onagraceae,native ,biennial,forb,oenbi,
oxalis stricta,yellow wood sorrel,oxalidaceae,native ,perennial,weedy forb,oxast,
panicum capillare,witchgrass,poaceae ,native,annual,C4 grass,panca,
panicum virgatum,switch grass,poaceae ,native,perennial,C4 grass,panvi,
pastinaca sativa,wild parsnhip,apiaceae,introduced,biennial,forb,passa,
penstemon digitalis,foxglove beardtongue,scrophulariaceae,native,perennial,forb,pendi,smooth penstemon
penstemon grandiflorus,large-flowered beardtongue,scrophulariaceae,native,perennial,forb,pengr,
phalaris arundinacea,reed canary grass,poaceae ,native,perennial,C3 grass,phaar,
phleum pratense,timothy grass,poaceae ,introduced,perennial,C3 grass,phlpr,
phlox pilosa,prairie phlox,polemoniaceae,native,perennial,forb,phlpi,downy phlox
physostegia virginiana  ,false dragonhead,lamiaceae,native,perennial,forb,phyvi,obedient plant
poa pratensis,kentucky bluegrass,poaceae ,introduced,perennial,C3 grass,poapr,
polygonum pensylvanicum,pennsylvania smartweed,polygonaceae,native,annual,weedy forb,polpe,
potentilla arguta,tall cinquefoil,rosaceae,native,perennial,forb,potar,prairie cinquefoil
pycnanthemum tenuifolium ,slender mountain mint,lamiaceae,native,perennial,forb,pycte,
pycnanthemum virginianum,common mountain mint,lamiaceae,native,perennial,forb,pycvi,
ratibida columnifera,prairie coneflower,asteraceae,native,perennial,forb,ratco,long headed coneflower
ratibida pinnata,greyheaded coneflower,asteraceae,native,perennial,forb,ratpi,yellow coneflower
rudbeckia hirta,black eyed susan,asteraceae,native,perennial,forb,rudhi,
ruellia humulis,wild petunia,acanthaceae,native,perennial,forb,ruehu,
rumex crispus,curly dock,polygonaceae,introduced,perennial,forb,rumcr,
schizachyrium scoparium,little bluestem,poaceae ,native,perennial,C4 grass,schsc,
senna marilandica,maryland senna,fabaceae,native ,perennial,forb,senma,
setaria faberi,giant foxtail,poaceae ,introduced,annual,C4 grass,setfa,
setaria pumila,yellow foxtail,poaceae ,introduced,annual,C4 grass,setpu,
setaria viridis,green foxtail,poaceae ,introduced,annual,C4 grass,setvi,
silphium integrifolium,rosinweed,asteraceae,native,perennial,forb,silin,
silphium laciniatum,compass plant,asteraceae,native,perennial,forb,silla,
silphium perfoliatum,cup plant,asteraceae,native,perennial,forb,silpe,
solidago canadensis,canada goldenrod,asteraceae,native,perennial,forb,solca,
solidago nemoralis,old-field goldenrod,asteraceae,native,perennial,forb,solne,grey goldenrod
solidago rigida,stiff goldenrod,asteraceae,native,perennial,forb,solri,rigid goldenrod
sorghastrum nutans,indian grass,poaceae ,native ,perennial,C4 grass,sornu,
sporobolus asper,rough dropseed,poaceae ,native ,perennial,C4 grass,spoas,tall dropseedcomposite dropseed sporobolus compositus
sporobolus cryptandrus,sand dropseed,poaceae ,native ,perennial,C4 grass,spocr,
sporobolus heterolepsis,prairie dropseed,poaceae ,native ,perennial,C4 grass,spohe,
symphyotrichum ericoides,heath aster,asteraceae,native,perennial,forb,symer,
symphyotrichum laevum,smooth blue aster,asteraceae,native,perennial,forb,symla,
symphyotrichum novae-angeliae,new england aster,asteraceae,native,perennial,forb,symno,
symphyotrichum oolentangiense,sky blue aster,asteraceae,native,perennial,forb,symoo,
symphyotrichum pilosum,frost aster,asteraceae,native,perennial,forb,sympi,hairy white oldfield aster
symphyotrichum sericeum,silky aster,asteraceae,native,perennial,forb,symse,
taraxacum officinale,common dandelion,asteraceae,introduced,perennial,forb,tarof,
thalictrum dasycarpum,meadow rue,ranunculaceae,native,perennial,forb,thada,
thlaspi arvense,field pennycress,brassicaceae,introduced,annual,forb,thlar,
tradescantia bracteata,prairie spiderwort,commelinaceae,native,perennial,forb,trabr,long-bracted spiderwort
tradescantia ohiensis,ohio spiderwort,commelinaceae,native,perennial,forb,traoh,
trifolium pratense,red clover,fabaceae,introduced,perennial,forb,tripr,
trifolium repens,white clover,fabaceae,introduced,perennial,forb,trire,
verbena hastata,blue vervain,verbenaceae,native,perennial,forb,verha,
verbena stricta,hoary vervain,verbenaceae,native,perennial,forb,verst,wooly vervain
veronia fasciculata,ironweed,asteraceae,native,perennial,forb,verfa,
veronicastrum virginicum,culver's root,scrophulariaceae,native,perennial,forb,vervi,
viola pedatifida,prairie violet,violaceae,native,perennial,forb,viope,
zizia aptera,heartleaf alexanders,apiaceae,native,perennial,forb,zizap,heart leafed parship
zizia aurea,golden alexander,apiaceae,native,perennial,forb,zizau,
