Treatment,Year,Quadrat,Acalypha virginica/rhomboidea,Amaranthus rudis,Ambrosia artemisiifolia,Ambrosia trifida,Bidens frondosa,Chamaecrista fasciculata,Erechtites hieracifolia,Erigeron annuus,Euphorbia dentata,Galium aparine,Parietaria pensylvanica,Polygonum pensylvanicum,Triodanis perfoliata,Veronica peregrina,Panicum capillare,Cirsium altissimum,Conyza canadensis,Gaura biennis,Lactuca floridana,Oenothera biennis,"Acer negundo/saccharinum (""Acer spp."")",Achillea millefolium,Agrimonia gryposepala,Alnus rugosa,Anemone canadensis,Antennaria spp.,Apocynum cannabinum,Asclepias syriaca,Asclepias verticillata,Aster ericoides,Aster lanceolatus,aster lateriflorus,Aster novae-angliae,Aster ontarionis,Aster pilosus,Brickellia eupatorioides,Calystegia sepium,Cirsium discolor,Cornus spp.,Crataegus spp.,Cynanchum laeve,Echinacea pallida,epilobium coloratum,Erigeron strigosus,Eryngium yuccifolium,Euphorbia nutans,Euthamia graminifolia,Fragaria virginiana,Fraxinus pennsylvanica,Geum canadense,Gleditsia triacanthos,Heliopsis helianthoides,Heuchera americana,Lespedeza capitata,Ludwigia palustris,Lycopus americanus,Lycopus virginicus,Lythrum alatum,Monarda fistulosa,Oxalis stricta,Parthenocissus quinquefolia,Pediomelum argophyllum,Penstemon digitalis,Penthorum sedoides,Physalis heterophylla,Physalis virginiana,Physostegia virginiana,Plantago rugelii,Polygonum amphibium,Populus deltoides,Potentilla arguta,Potentilla norvegica,Potentilla simplex,Prunus serotina,Ratibida pinnata,Rubus spp.,Rudbeckia hirta,Rumex altissimus,Salix spp.,Silphium perfoliatum,Solanum americanum,Solanum carolinense,Solidago canadensis,Solidago rigida,Solidago speciosa,Symphoricarpos orbiculatus,Teucrium canadense,Toxicodendron radicans,Ulmus rubra,Urtica dioica,Verbena hastata,Verbena stricta,Verbena urticifolia,Vernonia baldwinii/fasciculata,Viola spp.,Vitis riparia,Andropogon gerardii,Bouteloua curtipendula,Carex frankii,Carex vulpinoidea,Cyperus esculentus,dichanthelium oligosanthes,Elymus canadensis,Elymus virginicus,Juncus spp.,Koeleria macrantha,Muhlenbergia spp.,Panicum virgatum ,Phalaris arundinacea,Schizachyrium scoparium,Scirpus atrovirens,Sorghastrum nutans,Sporobolus asper,Sporobolus heterolepis,Tradescantia ohiensis/ bracteata,Tridens flavus,Abutilon theophrasti,Amaranthus retroflexus,Chenopodium album,Glycine max,Hibiscus trionum,Ipomoea hederacea,Thlaspi arvense,Bromus japonicus,Digitaria ischaemum,Echinochloa crusgalli,Poa annua,Setaria spp.,Zea mays,Arctium minus,Barbarea vulgaris,Cirsium vulgare,Daucus carota,Lactuca serriola,Verbascum thapsus,Cirsium arvense,Convolvulus arvensis,Euphorbia cyparissias,Lespedeza cuneata,Lotus corniculatus,Medicago lupulina,Medicago sativa,Melilotus spp.,Pastinaca sativa,Rumex acetosella,Rumex crispus,Sida spinosa,Taraxacum officinale,Trifolium hybridum,Trifolium repens,Trifolium pratense,Agrostis gigantea,Agrostis stolonifera,Bromus inermis,Dactylis glomerata,Agropyron repens,Festuca arundinacea,Phleum pratense,Poa compressa/pratensis,Sonchus spp.,Sanicula spp.,Lepidium spp.,Cerastium spp.,Lonicera spp.,Morus spp.,Rosa spp.,Helianthus spp.
Int1,2008,11,,0.5,,3,,,,3,,,,3,,,,,0.5,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,15,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,15,,,,,0.5,,,,,,,,,15,,,,,,,3,,,,,,,0.5,,,,,,,,,,,
Int1,2008,12,,0.5,,,,,,3,,,,15,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,0.5,3,,,,,,,,,,,,,,,,,,
Int2,2008,1,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,62.5,,,,,,,,,,,,,,3,,,,0.5,,,,,,,,,,,,,,,,,,,,,
Int2,2008,2,,,,,,0.5,,,,,,,,,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,,,,,,,,,,,,,,3,,15,,15,,,,,,,,,,,,,15,,,,,,,,
Int2,2008,3,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,15,,,,,,,,,,,,,,0.5,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,
Int2,2008,4,,,,,,,,,,,,,,,,3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,15,,3,,,,,,0.5,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,3,,,37.5,,,,,0.5,,,,,,,,,3,,,,37.5,,,,,,,,,,,,,,,,,,,,,
Int2,2008,5,,,,,,0.5,,,,,,,,,3,,0.5,,,,,,,,,,,,,,,,,,,,3,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,37.5,,,,,0.5,,,,,,,,,3,,,,15,,,,,,,,,,,,,,,,,,,,,
Int2,2008,6,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,3,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,15,,,,,15,,,,,,,,,3,,,,37.5,,,,,,,,,,,,,,,,,,,,,
Int2,2008,7,,,,,,3,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,,,,,,,0.5,,,,,,3,,,,15,,,,,,,,,,,,,,,,,,,,,
Int2,2008,8,,,,3,,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,0.5,,,,,,3,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,62.5,,,,,,,,15,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,
Int2,2008,9,,,15,,,0.5,,,,,,0.5,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0.5,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,15,,,,,0.5,,,15,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
Int2,2008,10,,,,,,3,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,3,,,,,15,,,,,,,,,,,,,,,,,,0.5,,,,,,,37.5,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Int2,2008,11,,,,,,3,,,,,,0.5,,,,,3,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,3,,,,,,3,,,,,,,,,,,,,,,15,,,,,0.5,,,,,,,,,,,,,,,,0.5,,,,,,,,,15,,,,,0.5,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,,,,,
Int2,2008,12,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,3,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,15,,,,,,,,,,,,,,3,,,,37.5,,,,,,,,3,,,,,,,,,,,,,
Orb1,2008,1,,,,3,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,37.5,,,,,,,,,,,,,,,,3,,,3,0.5,,,,,,,,,,,15,,,,,,,,
Orb1,2008,2,,,,,,,,,,,,3,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,3,,0.5,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,15,,,,,,,,,,,,,,,,,,15,3,,,,,,,,,,,,,,,,,,,,
Orb1,2008,3,,,,3,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,37.5,,,,,0.5,,,0.5,,,,,,,,0.5,,15,,,,,,,,,,,,,3,,,,,,,,
Orb1,2008,4,,,3,,,0.5,,,,,,3,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,,,,,,,3,,,,,,,,,,,,,,3,3,,,,,0.5,,,,,,,,,,,,,,,,0.5,,,,,,,,,37.5,,,,,,,,3,,,,,,,,3,,3,0.5,,,,,,,,,,,,15,,,,,,,,
Orb1,2008,5,,0.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,62.5,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,15,,,,,,,,
Orb1,2008,6,,15,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,15,,0.5,,,,0.5,,3,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,3,,0.5,,,,,,,,,62.5,,,,,,,,0.5,,,,,,,,,,,0.5,,,,,,,,,,,,37.5,,,,,,,,
Orb1,2008,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,3,,,,,,,3,,,,,,,0.5,,37.5,,,,,,,,0.5,,,,,,,,0.5,,15,0.5,,,,,,,,,,,,,,,,,,,,
Orb1,2008,8,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,15,,,,,,15,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,15,,,,,,,,3,,,,,,,,0.5,,3,,,,,,,,,,,,,,,,,,,,,
Orb1,2008,9,,,15,,,,,,,,,15,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,0.5,,,0.5,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,,,,,15,,,3,,,,,,,,3,,,0.5,,0.5,,,,,,,,,,37.5,,,,,,,,
Orb1,2008,10,,,,,,0.5,,,,,,3,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,3,,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,,,,,3,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
Orb1,2008,11,,,15,,,,,,,,,,,,,,3,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,3,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,37.5,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,62.5,,,,,15,,,,,,,,,,,,,0.5,3,0.5,,,,,,,,,,,15,,,,,,,,
Orb1,2008,12,,3,15,0.5,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,15,,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,,,15,,,,,,,,
Orb2,2008,1,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,37.5,,15,,,,0.5,,,,,,,,,,,,,,,,,,,
Orb2,2008,2,,,,,,0.5,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,15,,,,,3,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,,,,,
Orb2,2008,3,,,,,,3,,,,,,,,,,3,15,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,15,,,,,,,15,,,,,,,,,,,,,,,,0.5,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,15,,,,,,,,,,,,,,15,,15,,,,,,,,,,,,,,,37.5,,,,,,,,
Orb2,2008,4,,,,,,,,,3,,,,,,,,15,,,3,,,,,,,,,,,,,,,,,0.5,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,15,,,,,,,,,37.5,,,,,,,,,,,,,,3,,,,15,,,,,,,,,,,,,3,,,,,,,,
Orb2,2008,5,,,,,,,,,37.5,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,,,,,,,,,,,,,,,3,,,,3,,,,,,,,,,,37.5,,,,,,,,
Orb2,2008,6,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb2,2008,7,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,62.5,,,,,,,,,,,,,,,,,0.5,15,,,,,15,,,,,,,,,,,,,,,,
Orb2,2008,8,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,,,,,0.5,,,,,,,,,,,15,,,,0.5,,,,,,,,,,,37.5,,,,,,,,
Orb2,2008,9,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,3,,15,,,,,,,,,37.5,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,
Orb2,2008,10,,0.5,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,3,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,3,,,,,,,,,15,,,,0.5,,,,,0.5,,,,,,,,,,,,,,,,
Orb2,2008,11,,,,,,3,,,,,,15,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,37.5,,,,,0.5,,,,,,,,,,,,,3,,,,,,,,,,,,,0.5,,,,,,,,
Orb2,2008,12,,,,,,,,,,,,15,,,,,3,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,0.5,,,,,,,,,,,15,,,,,15,,,,,,,,,3,,,,,,0.5,,,,,,,,,,,,,,,,,,,
Bass1,2008,1,,,,,,15,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,15,,,,,0.5,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,15,,,,,,,,,3,,,,,,,0.5,,0.5,,0.5,,,,,,,85,,,,,,,,,,,,,,,,,,3,,0.5,,,,,,,,,,,,,,,,,,,
Bass1,2008,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,15,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0.5,,,3,,,,,,37.5,,,,,3,,,,,,,,,0.5,,,,15,,,,,,,,,,,,,,,,,,,,,
Bass1,2008,3,,,,,,,,,,,,,,,15,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,3,,,,,,,,,,,,0.5,,,0.5,,0.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,0.5,,3,3,,,,,,37.5,,,,,3,,,,,,0.5,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
Bass1,2008,4,,,,,,3,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,0.5,,,,,,,,,,,,3,,,,,0.5,,,,,3,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,15,,,,,3,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
Bass1,2008,5,,,,,,,,3,,,,,,,37.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,0.5,,,,,,,0.5,,,3,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,37.5,,,,,15,,,,,,,,,,,,,3,,,,,,,,37.5,,,,,,,,,,,,,
Bass1,2008,6,,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
